segment_id,label,ch1_mean,ch1_std,ch1_min,ch1_max,ch1_rms,ch1_peak_to_peak,ch2_mean,ch2_std,ch2_min,ch2_max,ch2_rms,ch2_peak_to_peak
4043,Other,0.101754867850821,0.014223776557955536,0.0534090215467253,0.152597204419215,0.10274419181106391,0.0991881828724897,2.071590978453273,0.01440868144596762,2.01809802844412,2.11728621131661,2.0716410867015553,0.09918818287248987
4044,Other,0.1012108588170665,0.01419291822088452,0.0495940914362449,0.148782274308735,0.10220115884916807,0.0991881828724901,2.070837148263442,0.014590581441202306,2.01428309833364,2.12491607153757,2.0708885483518076,0.11063297320392973
4045,Other,0.10114447903314415,0.014118662141119948,0.0495940914362449,0.152597204419215,0.1021251304015874,0.1030031129829701,2.0712522126594624,0.014676298308717148,2.01046816822316,2.12491607153757,2.071304208024202,0.11444790331440968
4046,Other,0.101286394433254,0.014056089154631007,0.0534090215467253,0.152597204419215,0.1022570649862964,0.0991881828724897,2.071028657754988,0.014470847506041287,2.02572788866508,2.12110114142709,2.071079213036037,0.09537325276200992
4047,Other,0.10111930049441498,0.013889888402801729,0.0419642312152841,0.156412134529695,0.10206880979183641,0.11444790331441089,2.070965329915154,0.01451230502766829,2.01428309833364,2.12110114142709,2.0710161768339233,0.10681804309344978
4048,Other,0.10123832631386197,0.014058729821624264,0.0381493011048038,0.152597204419215,0.10220981654924063,0.11444790331441121,2.070989745467861,0.014631842366779483,2.01809802844412,2.12491607153757,2.071041432865138,0.10681804309344978
4049,Other,0.10114142708905577,0.014187568646337887,0.0495940914362449,0.152597204419215,0.10213165707901412,0.1030031129829701,2.071693218580234,0.014795643950535882,2.00665323811268,2.12110114142709,2.071746051761953,0.11444790331441013
4050,Other,0.1012688457547458,0.014071011118987186,0.0495940914362449,0.160227064640176,0.10224173548218535,0.11063297320393109,2.071215589330402,0.014591677820877775,2.01428309833364,2.12110114142709,2.0712669877509544,0.10681804309344978
4051,Other,0.10080800219739977,0.013957178632908962,0.0495940914362449,0.152597204419215,0.10176962288631068,0.1030031129829701,2.071225508148689,0.014502532737071586,2.0219129585546,2.12491607153757,2.071276280234384,0.10300311298296982
4052,Other,0.101389397546237,0.013895393157175813,0.0572239516572056,0.148782274308735,0.1023371481221818,0.09155832265152941,2.0711446316303466,0.014652497972087767,2.01809802844412,2.12110114142709,2.071196461185666,0.10300311298296982
4053,Other,0.10124748214612712,0.014045376932666328,0.0495940914362449,0.160227064640176,0.10221704972317977,0.11063297320393109,2.071275865226147,0.014446313572006205,2.0219129585546,2.12110114142709,2.0713262432181336,0.09918818287248987
4054,Other,0.10127952755905516,0.014037323835185507,0.0457791613257645,0.148782274308735,0.10224768536763695,0.1030031129829705,2.071394128059572,0.014421002919040062,2.0219129585546,2.12110114142709,2.0714443268127836,0.09918818287248987
4055,Other,0.10134056644082283,0.01409867197934149,0.0381493011048038,0.152597204419215,0.10231658202915056,0.11444790331441121,2.071043154489408,0.014581625785935307,2.01809802844412,2.12491607153757,2.0710944863931244,0.10681804309344978
4056,Other,0.10109869987181837,0.014072076679850111,0.0457791613257645,0.152597204419215,0.10207335821778175,0.10681804309345051,2.071034761643165,0.01475252442692301,2.01809802844412,2.12873100164805,2.0710873040292936,0.11063297320392973
4057,Other,0.10119102118049202,0.013944378441652713,0.0495940914362449,0.156412134529695,0.10214728805834647,0.10681804309345008,2.0712567905755948,0.014559892872820196,2.01809802844412,2.12110114142709,2.071307964303228,0.10300311298296982
4058,Other,0.10106436550082405,0.014014628919884005,0.0534090215467253,0.144967344198254,0.10203144514239817,0.09155832265152869,2.071639046572665,0.014596284966706771,2.02572788866508,2.12491607153757,2.071690466942234,0.09918818287248987
4059,Other,0.10139550143441375,0.013844266281298541,0.0457791613257645,0.152597204419215,0.1023362663966382,0.10681804309345051,2.0712201672465342,0.014835882565005665,2.01809802844412,2.13254593175853,2.0712733003204202,0.11444790331440968
4060,Other,0.10127037172679,0.01376206750119169,0.0534090215467253,0.148782274308735,0.10220118732964693,0.0953732527620097,2.071237715925043,0.014677526847127958,2.01046816822316,2.12110114142709,2.071289720358969,0.11063297320392973
4061,Other,0.10090795336629436,0.014345750028485694,0.0457791613257645,0.152597204419215,0.1019225961033864,0.10681804309345051,2.070884453396812,0.014550928491601892,2.0219129585546,2.12873100164805,2.0709355733196,0.10681804309344978
4062,Other,0.10128105353109934,0.014424289613346488,0.0457791613257645,0.160227064640176,0.10230303971641853,0.1144479033144115,2.0711087712873084,0.014452846808285758,2.0219129585546,2.11728621131661,2.0711591989231746,0.09537325276200992
4063,Other,0.10149926753341883,0.014067322061975526,0.0534090215467253,0.148782274308735,0.10246946306005449,0.0953732527620097,2.0714444851370306,0.01437015409060419,2.0219129585546,2.12491607153757,2.0714943293026913,0.10300311298296982
4064,Other,0.10125358603430389,0.013954243640227158,0.0495940914362449,0.152597204419215,0.102210613932101,0.1030031129829701,2.070965329915154,0.014498258303918677,2.01809802844412,2.12110114142709,2.071016078451452,0.10300311298296982
4065,Other,0.10132225477629253,0.014049549923902001,0.0572239516572056,0.156412134529695,0.10229168669064047,0.0991881828724894,2.0712316120368657,0.014526113324149124,2.0219129585546,2.12110114142709,2.0712825492117535,0.09918818287248987
4066,Other,0.10147485198071174,0.014172308572614655,0.0457791613257645,0.148782274308735,0.10245974777826054,0.1030031129829705,2.071028657754988,0.014662476724536555,2.01809802844412,2.12873100164805,2.0710805608343983,0.11063297320392973
4067,Other,0.10100180064701218,0.013967122818586496,0.0495940914362449,0.156412134529695,0.10196295530126749,0.10681804309345008,2.070947781236646,0.014507928142851253,2.01809802844412,2.12491607153757,2.070998597920333,0.10681804309344978
4068,Other,0.10080495025331139,0.013991275585087098,0.0419642312152841,0.160227064640176,0.10177128174524698,0.1182628334248919,2.0709340474882483,0.014615136147515471,2.01046816822316,2.12873100164805,2.0709856183109214,0.11826283342488964
4069,Other,0.10144204358176162,0.01412501010599545,0.0534090215467253,0.160227064640176,0.10242072112877597,0.10681804309345069,2.0711087712873084,0.01470223810380589,2.01809802844412,2.13254593175853,2.0711609542255487,0.11444790331440968
4070,Other,0.100841573582372,0.014168326065106067,0.0534090215467253,0.164041994750656,0.1018320402724806,0.1106329732039307,2.0710286577549883,0.014632072230638043,2.00665323811268,2.12491607153757,2.0710803458051044,0.11826283342489008
4071,Other,0.10140236830861263,0.013855674823673308,0.0534090215467253,0.148782274308735,0.10234461404204376,0.0953732527620097,2.070811969724713,0.014662540408377443,2.01809802844412,2.11728621131661,2.0708638786859876,0.09918818287248987
4072,Other,0.10098806689861445,0.014015912402981478,0.0457791613257645,0.152597204419215,0.10195604668879173,0.10681804309345051,2.0712995177928324,0.014445967514656191,2.01428309833364,2.12110114142709,2.071349892796061,0.10681804309344978
4073,Other,0.10114219007507785,0.014193719665952828,0.0534090215467253,0.156412134529695,0.10213326730864354,0.10300311298296969,2.071037050601231,0.014420244948739943,2.0219129585546,2.11728621131661,2.071087252731625,0.09537325276200992
4074,Other,0.10106589147286825,0.014072252393559363,0.0572239516572056,0.156412134529695,0.10204088742574528,0.0991881828724894,2.0706372459256532,0.014523221978003147,2.01809802844412,2.12491607153757,2.0706881774403394,0.10681804309344978
4075,Other,0.10099264481474704,0.014098152034013175,0.0534090215467253,0.156412134529695,0.10197191867103315,0.10300311298296969,2.0715734297747646,0.014521358577475892,2.02572788866508,2.12873100164805,2.071624325210466,0.10300311298296982
4076,Other,0.10097051822010623,0.013761550257368856,0.0534090215467253,0.152597204419215,0.10190400293964363,0.0991881828724897,2.0712865470304567,0.014858483884119493,2.01428309833364,2.12491607153757,2.0713398404058876,0.11063297320392973
4077,Other,0.10115897576756397,0.013875087225021645,0.0495940914362449,0.152597204419215,0.10210610375410745,0.1030031129829701,2.070781450283829,0.014722874501909516,2.02572788866508,2.12873100164805,2.0708337880846925,0.10300311298296982
4078,Other,0.10095220655557594,0.01410481673741135,0.0495940914362449,0.152597204419215,0.10193279091458071,0.1030031129829701,2.071222456204601,0.014360480785104315,2.01809802844412,2.13254593175853,2.0712722386240294,0.11444790331440968
4079,Other,0.10083241775010686,0.01364403714005042,0.0495940914362449,0.152597204419215,0.10175134504669282,0.1030031129829701,2.071217878288468,0.014565867960368427,2.01428309833364,2.12491607153757,2.0712690949877137,0.11063297320392973
4080,Other,0.10087361899530005,0.01396650694345362,0.0495940914362449,0.156412134529695,0.10183589900133692,0.10681804309345008,2.0712323750228885,0.01452923332193863,2.01809802844412,2.12110114142709,2.0712833340622128,0.10300311298296982
